,mpg,cyl,displ,hp,weight,accel,yr,origin,name
354,28.1,4,141.0,80,3230,20.4,1981-01-01,Europe,peugeot 505s turbo diesel
355,30.7,6,145.0,76,3160,19.6,1981-01-01,Europe,volvo diesel
356,25.4,6,168.0,116,2900,12.6,1981-01-01,Asia,toyota cressida
357,24.2,6,146.0,120,2930,13.8,1981-01-01,Asia,datsun 810 maxima
358,22.4,6,231.0,110,3415,15.8,1981-01-01,US,buick century
359,26.6,8,350.0,105,3725,19.0,1981-01-01,US,oldsmobile cutlass ls
360,20.2,6,200.0,88,3060,17.1,1981-01-01,US,ford granada gl
361,17.6,6,225.0,85,3465,16.6,1981-01-01,US,chrysler lebaron salon
362,28.0,4,112.0,88,2605,19.6,1982-01-01,US,chevrolet cavalier
363,27.0,4,112.0,88,2640,18.6,1982-01-01,US,chevrolet cavalier wagon
364,34.0,4,112.0,88,2395,18.0,1982-01-01,US,chevrolet cavalier 2-door
365,31.0,4,112.0,85,2575,16.2,1982-01-01,US,pontiac j2000 se hatchback
366,29.0,4,135.0,84,2525,16.0,1982-01-01,US,dodge aries se
367,27.0,4,151.0,90,2735,18.0,1982-01-01,US,pontiac phoenix
368,24.0,4,140.0,92,2865,16.4,1982-01-01,US,ford fairmont futura
369,36.0,4,105.0,74,1980,15.3,1982-01-01,Europe,volkswagen rabbit l
370,37.0,4,91.0,68,2025,18.2,1982-01-01,Asia,mazda glc custom l
371,31.0,4,91.0,68,1970,17.6,1982-01-01,Asia,mazda glc custom
372,38.0,4,105.0,63,2125,14.7,1982-01-01,US,plymouth horizon miser
373,36.0,4,98.0,70,2125,17.3,1982-01-01,US,mercury lynx l
374,36.0,4,120.0,88,2160,14.5,1982-01-01,Asia,nissan stanza xe
375,36.0,4,107.0,75,2205,14.5,1982-01-01,Asia,honda accord
376,34.0,4,108.0,70,2245,16.9,1982-01-01,Asia,toyota corolla
377,38.0,4,91.0,67,1965,15.0,1982-01-01,Asia,honda civic
378,32.0,4,91.0,67,1965,15.7,1982-01-01,Asia,honda civic (auto)
379,38.0,4,91.0,67,1995,16.2,1982-01-01,Asia,datsun 310 gx
380,25.0,6,181.0,110,2945,16.4,1982-01-01,US,buick century limited
381,38.0,6,262.0,85,3015,17.0,1982-01-01,US,oldsmobile cutlass ciera (diesel)
382,26.0,4,156.0,92,2585,14.5,1982-01-01,US,chrysler lebaron medallion
383,22.0,6,232.0,112,2835,14.7,1982-01-01,US,ford granada l
384,32.0,4,144.0,96,2665,13.9,1982-01-01,Asia,toyota celica gt
385,36.0,4,135.0,84,2370,13.0,1982-01-01,US,dodge charger 2.2
386,27.0,4,151.0,90,2950,17.3,1982-01-01,US,chevrolet camaro
387,27.0,4,140.0,86,2790,15.6,1982-01-01,US,ford mustang gl
388,44.0,4,97.0,52,2130,24.6,1982-01-01,Europe,vw pickup
389,32.0,4,135.0,84,2295,11.6,1982-01-01,US,dodge rampage
390,28.0,4,120.0,79,2625,18.6,1982-01-01,US,ford ranger
391,31.0,4,119.0,82,2720,19.4,1982-01-01,US,chevy s-10
